trade_date,symbol,name,market,close,pct_change,volume,amount,source,currency,asset_group
20200101,931087.CSI,中国科技龙头,CN_INDEX,3506.74,2.32,2486384882.0,519.34,中证指数官网 / AKShare,点,中国科技指数
20200102,000001.SH,上证综指,CN_INDEX,3085.198,,29247020800.0,,新浪财经 / AKShare,点,中国科技指数
20200102,000300.SH,沪深300,CN_INDEX,4152.241,,18211677200.0,,新浪财经 / AKShare,点,中国科技指数
20200102,000660.KS,SK海力士,KR_EQUITY,88883.9765625,,2342070.0,,Yahoo Finance / yfinance,KRW,科技龙头
20200102,000688.SH,科创50,CN_INDEX,1019.723,,165906987.0,,新浪财经 / AKShare,点,中国科技指数
20200102,005930.KS,三星电子,KR_EQUITY,47320.6640625,,12993228.0,,Yahoo Finance / yfinance,KRW,科技龙头
20200102,399001.SZ,深证成指,CN_INDEX,10638.824,,39279517396.0,,新浪财经 / AKShare,点,中国科技指数
20200102,399006.SZ,创业板指,CN_INDEX,1832.742,,10430880972.0,,新浪财经 / AKShare,点,中国科技指数
20200102,931087.CSI,中国科技龙头,CN_INDEX,3506.74,2.32,2486384882.0,519.34,中证指数官网 / AKShare,点,中国科技指数
20200102,AAPL,苹果,US_EQUITY,72.27155303955078,,135480400.0,,Yahoo Finance / yfinance,USD,科技龙头
20200102,AMZN,亚马逊,US_EQUITY,94.90049743652344,,80580000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200102,DX-Y.NYB,美元指数,FX_INDEX,96.8499984741211,,0.0,,Yahoo Finance / yfinance,点,美元与利率
20200102,GOOGL,谷歌母公司,US_EQUITY,67.83251190185547,,27278000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200102,META,Meta,US_EQUITY,207.95384216308594,,12077100.0,,Yahoo Finance / yfinance,USD,科技龙头
20200102,MSFT,微软,US_EQUITY,151.82958984375,,22622100.0,,Yahoo Finance / yfinance,USD,科技龙头
20200102,MU,美光科技,US_EQUITY,54.012847900390625,,20173200.0,,Yahoo Finance / yfinance,USD,科技龙头
20200102,NVDA,英伟达,US_EQUITY,5.963802337646484,,237536000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200102,TSLA,特斯拉,US_EQUITY,28.68400001525879,,142981500.0,,Yahoo Finance / yfinance,USD,科技龙头
20200102,^DJI,道琼斯工业指数,US_INDEX,28868.80078125,,251820000.0,,Yahoo Finance / yfinance,点,美国主要指数
20200102,^GSPC,标普500指数,US_INDEX,3257.85009765625,,3459930000.0,,Yahoo Finance / yfinance,点,美国主要指数
20200102,^IXIC,纳斯达克综合指数,US_INDEX,9092.1904296875,,2862700000.0,,Yahoo Finance / yfinance,点,美国主要指数
20200103,000001.SH,上证综指,CN_INDEX,3083.786,-0.04576691674245126,26149666700.0,,新浪财经 / AKShare,点,中国科技指数
20200103,000300.SH,沪深300,CN_INDEX,4144.965,-0.17523067663942626,14282624400.0,,新浪财经 / AKShare,点,中国科技指数
20200103,000660.KS,SK海力士,KR_EQUITY,88696.2578125,-0.2111952651758342,3021380.0,,Yahoo Finance / yfinance,KRW,科技龙头
20200103,000688.SH,科创50,CN_INDEX,1024.482,0.4666953672713081,166149031.0,,新浪财经 / AKShare,点,中国科技指数
20200103,005930.KS,三星电子,KR_EQUITY,47577.8359375,0.5434663272272156,15422255.0,,Yahoo Finance / yfinance,KRW,科技龙头
20200103,399001.SZ,深证成指,CN_INDEX,10656.406,0.16526262677152292,37360393826.0,,新浪财经 / AKShare,点,中国科技指数
20200103,399006.SZ,创业板指,CN_INDEX,1836.012,0.17842118530595474,10227894765.0,,新浪财经 / AKShare,点,中国科技指数
20200103,931087.CSI,中国科技龙头,CN_INDEX,3511.67,0.14,2468641563.0,498.92,中证指数官网 / AKShare,点,中国科技指数
20200103,AAPL,苹果,US_EQUITY,71.56890869140625,-0.9722281016432688,146322800.0,,Yahoo Finance / yfinance,USD,科技龙头
20200103,AMZN,亚马逊,US_EQUITY,93.74849700927734,-1.2139034655920922,75288000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200103,DX-Y.NYB,美元指数,FX_INDEX,96.83999633789062,-0.010327451097624785,0.0,,Yahoo Finance / yfinance,点,美元与利率
20200103,GOOGL,谷歌母公司,US_EQUITY,67.47764587402344,-0.523150356491997,23408000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200103,META,Meta,US_EQUITY,206.85348510742188,-0.5291352370403013,11188400.0,,Yahoo Finance / yfinance,USD,科技龙头
20200103,MSFT,微软,US_EQUITY,149.9390106201172,-1.2451981366599418,21116200.0,,Yahoo Finance / yfinance,USD,科技龙头
20200103,MU,美光科技,US_EQUITY,53.174224853515625,-1.5526362328118104,16815800.0,,Yahoo Finance / yfinance,USD,科技龙头
20200103,NVDA,英伟达,US_EQUITY,5.86834716796875,-1.6005756776205304,205384000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200103,TSLA,特斯拉,US_EQUITY,29.534000396728516,2.963325829792085,266677500.0,,Yahoo Finance / yfinance,USD,科技龙头
20200103,^DJI,道琼斯工业指数,US_INDEX,28634.880859375,-0.8102862451665471,239590000.0,,Yahoo Finance / yfinance,点,美国主要指数
20200103,^GSPC,标普500指数,US_INDEX,3234.85009765625,-0.7059870562045378,3484700000.0,,Yahoo Finance / yfinance,点,美国主要指数
20200103,^IXIC,纳斯达克综合指数,US_INDEX,9020.76953125,-0.7855191660339544,2586520000.0,,Yahoo Finance / yfinance,点,美国主要指数
20200106,000001.SH,上证综指,CN_INDEX,3083.408,-0.012257659902470408,31257584200.0,,新浪财经 / AKShare,点,中国科技指数
20200106,000300.SH,沪深300,CN_INDEX,4129.295,-0.37804903057082617,17530995300.0,,新浪财经 / AKShare,点,中国科技指数
20200106,000660.KS,SK海力士,KR_EQUITY,88508.5234375,-0.21165985987465774,2577573.0,,Yahoo Finance / yfinance,KRW,科技龙头
20200106,000688.SH,科创50,CN_INDEX,1027.277,0.2728208011463451,184335092.0,,新浪财经 / AKShare,点,中国科技指数
20200106,005930.KS,三星电子,KR_EQUITY,47577.8359375,0.0,10278951.0,,Yahoo Finance / yfinance,KRW,科技龙头
20200106,399001.SZ,深证成指,CN_INDEX,10698.273,0.3928810520169579,43899825118.0,,新浪财经 / AKShare,点,中国科技指数
20200106,399006.SZ,创业板指,CN_INDEX,1859.921,1.302224604196489,12388259753.0,,新浪财经 / AKShare,点,中国科技指数
20200106,931087.CSI,中国科技龙头,CN_INDEX,3542.39,0.87,2864921493.0,603.11,中证指数官网 / AKShare,点,中国科技指数
